r,lnz_0,lnz_1,lnz_2
20.0,,339.3207113380257,
21.79682959970573,329.17123569963155,,
23.755089029930396,327.29605161120037,332.3102076069842,
25.889281385561585,,,
28.215212740995963,326.7899483525298,,331.31479722620895
30.750109211746754,326.00684311469087,,
33.51274453303927,,316.1561435035134,
36.523579100256356,317.0473956908278,,327.2606479602944
39.804911500983046,317.8334533178398,,
43.381043660914735,317.78191291226244,,322.007049830667
47.27846082671762,,314.12573005931904,319.6262478842941
51.526027718816344,315.66495370499047,309.7893410203808,
56.1552023068377,,,320.36213370741297
61.20026879095717,,301.5434388999468,316.72896409224205
66.6985915146341,303.80430119234546,296.01233112081303,316.0183562949562
72.6908916892429,,298.4544152112035,312.41315657989657
79.22154898005464,,293.26430343586765,
86.33893018714961,307.430989701238,292.46187358521655,
94.09574745550945,297.7859817337172,,306.91923494266416
102.54944866723417,,290.88290190644193,311.387894755192
111.7626429071736,,287.85402052526797,311.5601567932371
121.80356415302121,,293.7073248495843,
132.74657662401148,,,
144.67272553089285,,301.6521796715247,305.43572133356145
157.67033730609347,301.31495334746023,,
171.83567375945216,,288.6130632251333,308.48499203625965
187.2736450042703,,,304.0157319816314
204.09858643369296,301.7903018751198,,
222.43510550180096,302.96869437720306,,
242.41900458076623,301.4076613716742,283.35733337439444,
264.19828672886206,305.49563896651136,,304.80412651877504
287.93425181815996,297.92506080272983,287.909237144714,
313.8026911399598,,,
341.99518933533966,300.5714667051644,,
372.7205432930746,301.4774064385338,273.55067635193836,306.42405396183545
406.2063085234443,292.10326304041143,270.73377651501414,306.90507496798824
442.7004844605506,308.29530378780896,,
482.4733511746901,,272.7436716122135,
525.8194710976848,,274.07941474876657,304.345463698431
573.0598705861811,295.814405005577,277.80466668557574,
624.5444174798206,302.0601917488065,273.8772387147318,302.0227550647238
680.6544122627566,302.3523717863685,271.49721799734584,302.98695504013534
741.8054120189577,,,
808.4503080958365,,281.3792047141012,303.12717285111705
881.0826802697277,296.21255281304803,,
960.2404522545625,299.56052568251437,284.873206833734,304.80103859301585
1046.5098756268526,,,307.31469024837213
1140.5298716723876,,268.5464060923102,304.91371046261077
1242.9967633108645,299.2135938333644,265.3833226945066,300.8518661838427
1354.6694321436325,,,301.07409347527965
1476.3749388182434,301.0599023475602,,301.0066053117482
1609.014648334862,297.9502630153291,,303.08668277125776
1753.570905659272,297.9871765435467,279.9963363972979,298.94850854044887
1911.1143110828393,,281.8834508206534,303.4257584807503
2082.8116492115837,,273.427730462591,
2269.9345303073464,,,
2473.8688079798662,297.99737361784753,,
2696.124842978212,298.2399579892032,274.9860212808054,
2938.3486890964746,,281.45479326927955,307.21233737646367
3202.3342840377263,298.0277978629876,269.06751617493626,
3490.0367355233,,273.47847961807224,
3803.5868010457293,294.35996499704027,284.5088811806585,
4145.306668504181,298.374562242753,,
4517.727154595472,,,
4923.606448334049,,282.1705274318194,
5365.950538517482,,282.16424631540013,305.34137471133874
5848.0354764257345,300.62164140566534,,
6373.431638634285,291.8980385298408,268.9725328110057,301.69745656886147
6946.030169634236,,278.27162258131415,305.04410786594406
7570.07180009663,300.8228916826539,,306.75068039933507
8250.178254212187,297.7215885831282,270.26740438695896,
8991.386478713042,292.9088612286422,,
9799.18594708031,294.79889011867067,282.9705558509962,301.18615141974385
10679.559315217042,,,
11639.026729686788,303.1653472783131,281.1432630597312,299.79201668007386
12684.694116670153,,274.46011148879285,
13824.305809272448,,,302.3394843146503
15066.301902946669,297.55539341449156,,
16419.88076381253,296.802863208738,,
17895.06715281541,,281.2454431946779,
19502.78647026042,,,
21254.945670585672,299.60310218175476,276.71206668627974,303.93815761015156
23164.521446637933,,,295.8021156230406
25245.65633655478,297.9107524482139,286.94324368347077,301.7766878021306
27513.763465030774,,,
29985.640694694226,,291.0333325753938,297.6907796741772
32679.59503301264,296.5823877378445,274.6976595272265,
35615.57821609829,299.3379257473401,,291.4015972768749
38815.33447356435,298.91371607166025,,302.4725907211754
42302.56156879326,290.3211866551957,277.01623708357033,297.3667087763206
46103.08630730232,298.3371158967742,285.0497949198742,300.88960753107466
50245.05581303973,,280.0821480881006,299.8872741542292
54759.14598922652,297.9579077998434,,302.2086730079498
59678.78870762896,297.9937446670099,280.1664006146758,301.5742384160068
65040.419408851645,,,299.86029156695076
70883.74694740659,296.54244564270243,271.61441288010906,
77252.04768006425,293.0789097867186,,300.5770042752038
84192.48597553509,291.4181880815063,293.20519829658144,
91756.46351921759,297.56588952224354,278.1307874661698,
100000.0,,285.68151867467634,306.8030143300474
